date|value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

2012-01-11 | 1
2012-01-11 | 2147483648
2015-03-22 | 4.5
2015-03-22 | 6.7
2015-03-22 | 8.2
2015-03-22 | 3.6
2015-03-22 | 5.1
2016-08-14 | 7
2016-08-14 | 9.8
2016-08-14 | 12.5
2016-08-14 | 10.2
2016-08-14 | 8.9
2018-12-01 | 5.3
2018-12-01 | 4.9
2018-12-01 | 6.1
2018-12-01 | 7.8
2018-12-01 | 5.7
2020-05-30 | 8.6
2001-05-30 | 9.2
2020-05-30 | 11.3
2020-05-30 | 9.8
2021-09-03 | 10.5
2010-08-19 | 10.7
2021-09-03 | 12.2
2021-09-03 | 11.9
2021-09-35 | 13.4
2021-09-03 | 12.8
2023-01-15 | 15.2
2023-01-15 | 17.3
2023-05-20 | 18.7
2023-07-20 | 20.2
2023-11-20 | 22.5
2024-01-03 | 22.5
2015-02-29 | 3.4
2016-02-29 | 5.6
2024-12-45 | 8.1
2024-12-45 | 6.9
2022-07-11 | -2
2022-07-11 | 5.5
2022-12-20 | abc
